,iterations per agent,number of agents,random seed,average utility of best design,smax,smin,number of created designs
243,17,10,10,0.1395236935194713,0.8300205700076386,0.11395440188928,60
244,19,10,10,0.1496931594154352,0.8300205700076386,0.11395440188928,68
245,21,10,10,0.1511340024091506,0.8300205700076386,0.11395440188928,72
246,23,10,10,0.1553857803986458,0.8300205700076386,0.11395440188928,79
247,25,10,10,0.166130589399237,0.8300205700076386,0.11395440188928,84
248,27,10,10,0.1745447833264678,0.8300205700076386,0.11395440188928,92
249,29,10,10,0.1838624470925145,0.8300205700076386,0.11395440188928,98
250,31,10,10,0.1883439517207365,0.8300205700076386,0.11395440188928,105
251,33,10,10,0.1883439517207365,0.8300205700076386,0.11395440188928,113
252,35,10,10,0.1979382147708435,0.8300205700076386,0.11395440188928,117
253,37,10,10,0.2037628849683289,0.8300205700076386,0.11395440188928,122
254,39,10,10,0.2096958815518974,0.8300205700076386,0.11395440188928,125
255,41,10,10,0.2096958815518974,0.8300205700076386,0.11395440188928,129
256,43,10,10,0.2096958815518974,0.8300205700076386,0.11395440188928,136
257,45,10,10,0.2172283982915218,0.8300205700076386,0.11395440188928,147
258,47,10,10,0.2172283982915218,0.8300205700076386,0.11395440188928,154
259,49,10,10,0.2172283982915218,0.8300205700076386,0.11395440188928,157
260,0,100,0,0.118042248891302,0.8482605567898969,0.118042248891302,1
261,1,100,0,0.1341791585293711,0.8482605567898969,0.118042248891302,37
262,3,100,0,0.1751084106592934,0.8482605567898969,0.118042248891302,107
263,5,100,0,0.2111517516289935,0.8482605567898969,0.118042248891302,175
264,7,100,0,0.2378762833044678,0.8482605567898969,0.118042248891302,222
265,9,100,0,0.2485697369545773,0.8482605567898969,0.118042248891302,276
266,11,100,0,0.2485697369545773,0.8482605567898969,0.118042248891302,305
267,13,100,0,0.2656600122632181,0.8482605567898969,0.118042248891302,344
268,15,100,0,0.2921918701899372,0.8482605567898969,0.118042248891302,381
269,17,100,0,0.3020542928696326,0.8482605567898969,0.118042248891302,425
270,19,100,0,0.3020542928696326,0.8482605567898969,0.118042248891302,456
271,21,100,0,0.3118847724464777,0.8482605567898969,0.118042248891302,499
272,23,100,0,0.3313368014513542,0.8482605567898969,0.118042248891302,539
273,25,100,0,0.3454161320707986,0.8482605567898969,0.118042248891302,578
274,27,100,0,0.3548056982234156,0.8482605567898969,0.118042248891302,611
275,29,100,0,0.3596324808794875,0.8482605567898969,0.118042248891302,635
276,31,100,0,0.3684947988416743,0.8482605567898969,0.118042248891302,658
277,33,100,0,0.3817281185216546,0.8482605567898969,0.118042248891302,692
278,35,100,0,0.3858102846250114,0.8482605567898969,0.118042248891302,721
279,37,100,0,0.3897376726943289,0.8482605567898969,0.118042248891302,766
280,39,100,0,0.4027363689823843,0.8482605567898969,0.118042248891302,793
281,41,100,0,0.4062893032422583,0.8482605567898969,0.118042248891302,825
282,43,100,0,0.4070872360851333,0.8482605567898969,0.118042248891302,850
283,45,100,0,0.4148130719526912,0.8482605567898969,0.118042248891302,874
284,47,100,0,0.4211379878767908,0.8482605567898969,0.118042248891302,897
285,49,100,0,0.4292684768191859,0.8482605567898969,0.118042248891302,924
286,0,100,1,0.1377568237700536,0.8612806896248978,0.1377568237700536,1
287,1,100,1,0.1517664552173465,0.8612806896248978,0.1377568237700536,47
288,3,100,1,0.1713384389187849,0.8612806896248978,0.1377568237700536,109
289,5,100,1,0.1900961823907422,0.8612806896248978,0.1377568237700536,171
290,7,100,1,0.2055513703037525,0.8612806896248978,0.1377568237700536,230
291,9,100,1,0.2153849034867504,0.8612806896248978,0.1377568237700536,281
292,11,100,1,0.2255068817627175,0.8612806896248978,0.1377568237700536,330
293,13,100,1,0.2393515936876747,0.8612806896248978,0.1377568237700536,377
294,15,100,1,0.2533692334993154,0.8612806896248978,0.1377568237700536,419
295,17,100,1,0.2605074789244735,0.8612806896248978,0.1377568237700536,462
296,19,100,1,0.2884557329682352,0.8612806896248978,0.1377568237700536,502
297,21,100,1,0.3020078454380476,0.8612806896248978,0.1377568237700536,536
298,23,100,1,0.3020078454380476,0.8612806896248978,0.1377568237700536,576
299,25,100,1,0.3086099880629168,0.8612806896248978,0.1377568237700536,608
300,27,100,1,0.320952376122188,0.8612806896248978,0.1377568237700536,643
301,29,100,1,0.320952376122188,0.8612806896248978,0.1377568237700536,674
302,31,100,1,0.3211852284779533,0.8612806896248978,0.1377568237700536,706
303,33,100,1,0.3274191607429248,0.8612806896248978,0.1377568237700536,729
304,35,100,1,0.3275542316916888,0.8612806896248978,0.1377568237700536,759
305,37,100,1,0.3286895586651226,0.8612806896248978,0.1377568237700536,789
306,39,100,1,0.3335328459633099,0.8612806896248978,0.1377568237700536,821
307,41,100,1,0.3361878067878821,0.8612806896248978,0.1377568237700536,847
308,43,100,1,0.3388335010309826,0.8612806896248978,0.1377568237700536,866
309,45,100,1,0.3430233948347996,0.8612806896248978,0.1377568237700536,885
310,47,100,1,0.3430233948347996,0.8612806896248978,0.1377568237700536,914
311,49,100,1,0.3525990787111431,0.8612806896248978,0.1377568237700536,944
312,0,100,2,0.1653860316487824,0.861569038614596,0.1653860316487824,1
313,1,100,2,0.2015903893112548,0.861569038614596,0.1653860316487824,39
314,3,100,2,0.2651822417098282,0.861569038614596,0.1653860316487824,102
315,5,100,2,0.3254373098202838,0.861569038614596,0.1653860316487824,154
316,7,100,2,0.4035031745718243,0.861569038614596,0.1653860316487824,207
317,9,100,2,0.4535565446906093,0.861569038614596,0.1653860316487824,254
318,11,100,2,0.4924672024831122,0.861569038614596,0.1653860316487824,296
319,13,100,2,0.5289068349664707,0.861569038614596,0.1653860316487824,332
