number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
1128,17,0.47722631127019216,0.47722631127019216,0.8779417041744002,0.14333499643967904,451,30,1675,0.5,0.2489700533566599
1623,17,0.41852740695452717,0.41852740695452717,0.8773432512856354,0.14384014285840638,706,30,2598,0.5,0.25645366323297053
2335,17,0.5501543515265095,0.5375329832762074,0.8787388417698416,0.14262397958933531,843,30,4068,0.5,0.29666116411992055
3359,17,0.6314675662353633,0.6277728969121387,0.8785013851537017,0.14328005135860866,1092,30,6270,0.5,0.3774810834273864
4832,17,0.7614344029124709,0.7614344029124709,0.8788504726537277,0.14434860798162286,1541,30,9556,0.5,0.5529160901784456
6951,17,0.7056355969668334,0.690163701096037,0.8800083149011233,0.1444396043608941,2046,30,14463,0.5,0.4317218520609508
10000,17,0.8798611610262216,0.8798611610262216,0.8798611610262216,0.14436537691078266,2386,30,22156,0.5,0.7379396447175527
10,18,0.17398495056925709,0.17398495056925709,0.8616552256206841,0.17387779568581146,9,30,0,0.5,0.17390889837279422
14,18,0.14442948604465708,0.14442948604465708,0.8596490917580527,0.1440153310258385,14,30,0,0.5,0.14408670941663465
20,18,0.17138865502758227,0.17138865502758227,0.8455897491477893,0.1686982431076354,17,30,0,0.5,0.16909456812396736
29,18,0.1817047117752208,0.1817047117752208,0.8455080879305688,0.17960453597892478,22,30,1,0.5,0.18022183616983403
42,18,0.17093102699581977,0.17086118206383538,0.8430865732841472,0.1664362159218583,24,30,5,0.5,0.1677423939334857
61,18,0.16180662654147387,0.16180662654147387,0.8355662085429193,0.15713561215741,38,30,13,0.5,0.1592394260678951
88,18,0.15545956568065855,0.15545956568065855,0.8591151422962704,0.14846563475037733,52,30,32,0.5,0.15025610273897774
127,18,0.16922472047012765,0.16803320304009017,0.8700805618902812,0.1517884189583006,87,30,76,0.5,0.1555938847973102
183,18,0.1743126100071202,0.17043176721311146,0.8705962540454228,0.15054648797401307,116,30,130,0.5,0.15895061648333042
263,18,0.1964683909422756,0.19276654521837575,0.8663495330764492,0.1393351724459695,146,30,223,0.5,0.15755227945398498
379,18,0.18724149477504076,0.18724149477504076,0.8680470812206066,0.13685240799387582,183,30,403,0.5,0.14490764512502546
545,18,0.23339431337249558,0.22859809548604643,0.8612871753168825,0.1417648475278068,282,30,647,0.5,0.17299039354219237
784,18,0.2081080990522809,0.18020956489430687,0.8628493858001037,0.1412206362400645,365,30,1030,0.5,0.15892260811386003
1128,18,0.2899654973648568,0.2899654973648568,0.8681712961558085,0.14360848517544747,480,30,1614,0.5,0.19720849185379757
1623,18,0.31423874423684434,0.31423874423684434,0.8672279996754396,0.14220292550667457,563,30,2638,0.5,0.20893966066210315
2335,18,0.38060090792122947,0.38060090792122947,0.8672337041236837,0.14155645008961193,852,30,4077,0.5,0.2300680712317547
3359,18,0.4072753512495327,0.4072753512495327,0.8646242633093734,0.14548160944959115,990,30,6335,0.5,0.28728713948198414
4832,18,0.44941689582039007,0.44590680091489493,0.8638993397072368,0.1436472846193811,1338,30,9822,0.5,0.2731166862761737
6951,18,0.5148982715451249,0.5102072192924909,0.8646390583705272,0.14251393991927813,1851,30,14812,0.5,0.3336115488434424
10000,18,0.5325997565010151,0.5323808153021625,0.8649152059078291,0.1433481608644801,2360,30,22162,0.5,0.3689061535341278
10,20,0.07445922820058667,0.07445922820058667,0.767060825979778,0.06872101729819573,10,30,0,0.5,0.07054755187902695
